Video Title,Video Post Date,Video URL,Video Play Count
#BINI : 'Cherry On Top' MV Shoot Day 2 [ Behind-The-Scenes ],2024-12-02,https://www.youtube.com/watch?v=LxefFTc4wHQ,272443
"#BINI : 'Salamin, Salamin' at #Ogieke2Reimagined Performance Fancam",2024-12-01,https://www.youtube.com/watch?v=6yX84jRtqik,90512
#BINI : #GrandBINIverse Highlights,2024-11-23,https://www.youtube.com/watch?v=yHwd782Eeuo,298396
BINI | 'Joy To The World' Official Video,2024-11-14,https://www.youtube.com/watch?v=YCwK5rMUv_k,1274133
#BINI : 'Cherry On Top' MV Shoot Day 1 [ Behind-The-Scenes ],2024-11-13,https://www.youtube.com/watch?v=PSuQLueZIRY,354735
#BINI : #BINI_JoyToTheWorld | Official Video Teaser,2024-11-11,https://www.youtube.com/watch?v=EWSBjTAWxnw,78163
#BINI : BINI’s International Cherry On Top Merch Collection is here!,2024-11-09,https://www.youtube.com/watch?v=duMRf5rMB60,213821
#BINI | Q&EYYY with BINI - Episode 3,2024-11-08,https://www.youtube.com/watch?v=6M9yMPRXRLs,132648
#BINI | Q&EYYY with BINI - Episode 2,2024-10-31,https://www.youtube.com/watch?v=qR4Uu3fChZQ,192016
#BINI : BINI’s Official Cherry On Top Merch is Finally Here!,2024-10-27,https://www.youtube.com/watch?v=VTzv4_ahTBM,193423
#BINI : 'I Feel Good' at #Magpasikat2024AnneJugsTeddy Performance Fancam,2024-10-26,https://www.youtube.com/watch?v=AkCkZw0mWBQ,53310
#BINI : 'Cherry On Top' at #IAM7thAnniversary Performance Fancam,2024-10-22,https://www.youtube.com/watch?v=5Nb6X_aeejg,80700
"#BINI : 'Salamin, Salamin' at #IAM7thAnniversary Performance Fancam",2024-10-22,https://www.youtube.com/watch?v=G_JyghDxZks,52671
#BINI : Q&EYYY with BINI - Episode 1,2024-10-18,https://www.youtube.com/watch?v=xnlSoeEGkuU,280844
#BINI : 8 powerful ladies in their own cosmic worlds!🌸✨,2024-10-18,https://www.youtube.com/watch?v=tPmds1Pmvgw,127992
#BINI : Embrace @bini_jhoanna’s ethereal world 🪸,2024-10-18,https://www.youtube.com/watch?v=lTqMSIHARKc,68618
#BINI : Let @bini_maloi introduce her world where magic blooms 🌸🌱,2024-10-18,https://www.youtube.com/watch?v=cqMARrQE1Qs,50359
#BINI : Where fire meets earth: @bini_colet’s world awaits you ❤️‍🔥,2024-10-18,https://www.youtube.com/watch?v=U_RZm6vi_A8,59493
#BINI : Fall in love with @bini_sheena’s terrestrial world 🍂,2024-10-18,https://www.youtube.com/watch?v=-p5XlIsl2EM,39235
#BINI : @bini_gwen's mystical and fierce world is ready˚˖໋🍃✧˚.,2024-10-18,https://www.youtube.com/watch?v=uVY7Xifsamo,41419
#BINI : Enter the enchanting world of @bini_mikha 🍃,2024-10-18,https://www.youtube.com/watch?v=m06UxuophFg,87493
#BINI : 'Cherry On Top' x 'Pantropiko' at #BillboardPHMainstage Performance Fancam,2024-10-16,https://www.youtube.com/watch?v=s86ab53ZJKs,158353
#BINI : BINI’s Official Lightstick and Grand BINIverse Tour Merch Revealed!,2024-10-15,https://www.youtube.com/watch?v=NcjpISBegd8,247453
"#BINI : 'Salamin, Salamin' at #ASIYAFEST Performance Fancam",2024-10-15,https://www.youtube.com/watch?v=YMrvZ1w6HLg,124260
#BINI : 'Karera' at #ASIYAFEST Performance Fancam,2024-10-15,https://www.youtube.com/watch?v=FNjLGnUp8FE,115250
#BINI : @bini_aiah in her element 🌊,2024-10-14,https://www.youtube.com/watch?v=8necGrPva30,54459
#BINI : Step into @bini_stacey's realm 🌸,2024-10-14,https://www.youtube.com/watch?v=EmHXDR4XXaw,37832
